Cluster,Members,Representative,"Weighted Score"
0,31,Center,-1046.9
0,31,"Lowest Energy",-1297.6
1,30,Center,-1073.3
1,30,"Lowest Energy",-1193.1
2,25,Center,-989.1
2,25,"Lowest Energy",-1103.6
3,23,Center,-1004.3
3,23,"Lowest Energy",-1252.7
4,22,Center,-1120.2
4,22,"Lowest Energy",-1143.5
5,21,Center,-1098.5
5,21,"Lowest Energy",-1184.7
6,20,Center,-999.7
6,20,"Lowest Energy",-1089.1
7,20,Center,-1078.0
7,20,"Lowest Energy",-1087.0
8,20,Center,-1001.6
8,20,"Lowest Energy",-1057.5
9,19,Center,-1051.4
9,19,"Lowest Energy",-1122.8
10,18,Center,-1099.3
10,18,"Lowest Energy",-1099.3
11,16,Center,-1134.5
11,16,"Lowest Energy",-1134.5
12,16,Center,-1061.8
12,16,"Lowest Energy",-1061.8
13,16,Center,-961.6
13,16,"Lowest Energy",-1047.3
14,13,Center,-1052.9
14,13,"Lowest Energy",-1181.3
15,12,Center,-1118.2
15,12,"Lowest Energy",-1118.2
16,12,Center,-972.2
16,12,"Lowest Energy",-1087.8
17,12,Center,-1126.2
17,12,"Lowest Energy",-1126.2
18,12,Center,-1082.4
18,12,"Lowest Energy",-1089.3
19,12,Center,-1046.2
19,12,"Lowest Energy",-1046.2
20,12,Center,-993.2
20,12,"Lowest Energy",-1003.9
21,11,Center,-1199.9
21,11,"Lowest Energy",-1199.9
22,11,Center,-1061.5
22,11,"Lowest Energy",-1061.5
23,11,Center,-939.4
23,11,"Lowest Energy",-1036.0
24,10,Center,-935.1
24,10,"Lowest Energy",-995.0
25,10,Center,-1171.4
25,10,"Lowest Energy",-1171.4
26,10,Center,-1155.1
26,10,"Lowest Energy",-1155.1
27,10,Center,-1108.2
27,10,"Lowest Energy",-1108.2
28,10,Center,-1084.4
28,10,"Lowest Energy",-1084.4
29,10,Center,-1069.7
29,10,"Lowest Energy",-1069.7
